Takim,Sezon,Kadro_Sayisi,Ortalama_Yas,Yabanci_Oyuncu_Sayisi,Kaleci_Sayisi,Kaleci_Toplam_Deger_Euro,Kaleci_Ortalama_Deger_Euro,Defans_Sayisi,Defans_Toplam_Deger_Euro,Defans_Ortalama_Deger_Euro,Ortasaha_Sayisi,Ortasaha_Toplam_Deger_Euro,Ortasaha_Ortalama_Deger_Euro,Forvet_Sayisi,Forvet_Toplam_Deger_Euro,Forvet_Ortalama_Deger_Euro,Ortalama_Piyasa_Degeri_Euro,Toplam_Piyasa_Degeri_Euro
Fenerbahçe SK,2004-2005,27,25.3,6,3,8500000.0,2833333.3333333335,12,29500000.0,2458333.3333333335,3,12850000.0,4283333.333333333,9,39750000.0,4416666.666666667,3360000.0,90600000.0
Galatasaray SK,2004-2005,32,26.5,10,4,5750000.0,1437500.0,12,29750000.0,2479166.6666666665,7,13000000.0,1857142.857142857,9,31150000.0,3461111.111111111,2490000.0,79650000.0
Beşiktaş JK,2004-2005,33,27.0,8,3,4000000.0,1333333.3333333333,14,28500000.0,2035714.2857142857,7,20500000.0,2928571.4285714286,9,23250000.0,2583333.3333333335,2310000.0,76250000.0
Trabzonspor,2004-2005,29,25.2,7,3,2550000.0,850000.0,15,27000000.0,1800000.0,4,6250000.0,1562500.0,7,27800000.0,3971428.5714285714,2190000.0,63600000.0
Gençlerbirliği SK,2004-2005,33,25.9,7,3,3500000.0,1166666.6666666667,14,19500000.0,1392857.142857143,8,8750000.0,1093750.0,8,15200000.0,1900000.0,1420000.0,46950000.0
Gaziantepspor,2004-2005,32,24.8,6,3,2350000.0,783333.3333333334,16,16350000.0,1021875.0,7,8900000.0,1271428.5714285714,6,11000000.0,1833333.3333333333,1210000.0,38600000.0
Konyaspor,2004-2005,29,28.2,8,3,2500000.0,833333.3333333334,15,14200000.0,946666.6666666666,4,7750000.0,1937500.0,7,12800000.0,1828571.4285714286,1280000.0,37250000.0
Samsunspor,2004-2005,37,25.9,8,4,1900000.0,475000.0,16,11100000.0,693750.0,10,11650000.0,1165000.0,7,10000000.0,1428571.4285714286,936000.0,34650000.0
Malatyaspor,2004-2005,32,26.3,9,3,1750000.0,583333.3333333334,12,14050000.0,1170833.3333333333,8,8300000.0,1037500.0,9,9850000.0,1094444.4444444445,1060000.0,33950000.0
Ankaragücü,2004-2005,42,25.5,10,5,2205000.0,441000.0,16,10100000.0,631250.0,14,9650000.0,689285.7142857143,7,10800000.0,1542857.142857143,780000.0,32759999.999999996
Büyükşehir Belediyesi Ankaraspor,2004-2005,37,25.9,8,5,2350000.0,470000.0,16,17750000.0,1109375.0,7,4550000.0,650000.0,9,8100000.0,900000.0,885000.0,32750000.0
Kayserispor,2004-2005,38,26.6,8,5,1750000.0,350000.0,19,15925000.0,838157.8947368421,7,5550000.0,792857.1428571428,7,6800000.0,971428.5714285715,790000.0,30030000.0
İstanbulspor,2004-2005,34,26.0,9,3,2400000.0,800000.0,12,7600000.0,633333.3333333334,8,7650000.0,956250.0,11,9900000.0,900000.0,810000.0,27550000.0
Denizlispor,2004-2005,30,25.7,7,3,2450000.0,816666.6666666666,13,11090000.0,853076.9230769231,9,6700000.0,744444.4444444445,5,7000000.0,1400000.0,908000.0,27240000.0
Akçaabat Sebatspor,2004-2005,36,27.2,5,3,2025000.0,675000.0,15,10550000.0,703333.3333333334,8,7900000.0,987500.0,10,6250000.0,625000.0,742000.0,26730000.0
Diyarbakırspor,2004-2005,31,27.5,7,3,1050000.0,350000.0,13,10000000.0,769230.7692307692,5,3750000.0,750000.0,10,8125000.0,812500.0,740000.0,22930000.0
Çaykur Rizespor,2004-2005,29,26.5,7,3,1330000.0,443333.3333333333,15,9870000.0,658000.0,3,3300000.0,1100000.0,8,8350000.0,1043750.0,788000.0,22850000.0
Sakaryaspor,2004-2005,32,25.6,7,4,1450000.0,362500.0,9,4500000.0,500000.0,9,4550000.0,505555.55555555556,10,4350000.0,435000.0,464000.0,14850000.0
Fenerbahçe SK,2005-2006,25,25.8,5,3,4400000.0,1466666.6666666667,12,29700000.0,2475000.0,3,11600000.0,3866666.6666666665,7,27300000.0,3900000.0,2920000.0,73000000.0
Beşiktaş JK,2005-2006,40,26.0,9,5,3350000.0,670000.0,14,22500000.0,1607142.857142857,9,22200000.0,2466666.6666666665,12,21600000.0,1800000.0,1740000.0,69650000.0
Galatasaray SK,2005-2006,35,25.2,6,3,4250000.0,1416666.6666666667,15,25650000.0,1710000.0,8,12100000.0,1512500.0,9,22950000.0,2550000.0,1860000.0,64950000.0
Trabzonspor,2005-2006,35,25.2,9,4,3710000.0,927500.0,17,22775000.0,1339705.8823529412,4,9300000.0,2325000.0,10,28350000.0,2835000.0,1830000.0,64140000.0
Ankaraspor,2005-2006,39,25.7,8,6,2300000.0,383333.3333333333,19,18075000.0,951315.7894736842,7,3300000.0,471428.5714285714,7,8850000.0,1264285.7142857143,834000.0,32530000.0
Gaziantepspor,2005-2006,39,24.7,11,4,2650000.0,662500.0,18,14500000.0,805555.5555555555,9,6450000.0,716666.6666666666,8,8600000.0,1075000.0,826000.0,32200000.000000004
Denizlispor,2005-2006,35,26.3,9,5,1985000.0,397000.0,14,11300000.0,807142.8571428572,8,6800000.0,850000.0,8,9120000.0,1140000.0,834000.0,29210000.0
Konyaspor,2005-2006,31,26.8,7,4,1600000.0,400000.0,12,10000000.0,833333.3333333334,7,5270000.0,752857.1428571428,8,11650000.0,1456250.0,920000.0,28520000.0
Ankaragücü,2005-2006,43,26.0,10,4,2275000.0,568750.0,18,11500000.0,638888.8888888889,12,4330000.0,360833.3333333333,9,9050000.0,1005555.5555555555,632000.0,27160000.0
Samsunspor,2005-2006,37,25.9,11,4,2250000.0,562500.0,14,7885000.0,563214.2857142857,11,7900000.0,718181.8181818182,8,7750000.0,968750.0,697000.0,25790000.0
Gençlerbirliği SK,2005-2006,34,24.9,9,4,2850000.0,712500.0,13,11200000.0,861538.4615384615,12,7625000.0,635416.6666666666,5,4000000.0,800000.0,755000.0,25680000.0
Malatyaspor,2005-2006,37,25.8,10,3,1425000.0,475000.0,19,12150000.0,639473.6842105263,5,3900000.0,780000.0,10,7600000.0,760000.0,678000.0,25080000.0
Kayserispor,2005-2006,34,24.1,6,5,2300000.0,460000.0,16,8600000.0,537500.0,6,7550000.0,1258333.3333333333,7,4975000.0,710714.2857142857,689000.0,23430000.0
Manisaspor,2005-2006,41,25.3,9,5,1050000.0,210000.0,14,8095000.0,578214.2857142857,11,7875000.0,715909.0909090909,11,5850000.0,531818.1818181818,558000.0,22870000.0
Kayseri Erciyesspor,2005-2006,33,27.2,8,4,1530000.0,382500.0,14,8450000.0,603571.4285714285,10,7875000.0,787500.0,5,4900000.0,980000.0,690000.0,22760000.0
Diyarbakırspor,2005-2006,38,28.0,8,5,3450000.0,690000.0,11,6925000.0,629545.4545454546,13,7430000.0,571538.4615384615,9,4170000.0,463333.3333333333,578000.0,21980000.0
Sivasspor,2005-2006,34,26.5,9,4,3250000.0,812500.0,15,9195000.0,613000.0,7,3900000.0,557142.8571428572,8,4800000.0,600000.0,622000.0,21150000.0
Çaykur Rizespor,2005-2006,34,26.3,9,3,1425000.0,475000.0,15,5845000.0,389666.6666666667,8,5850000.0,731250.0,8,4300000.0,537500.0,512000.0,17420000.0
Fenerbahçe SK,2006-2007,34,26.0,7,4,5400000.0,1350000.0,15,46550000.0,3103333.3333333335,4,17300000.0,4325000.0,11,44950000.0,4086363.6363636362,3360000.0,114200000.0
Galatasaray SK,2006-2007,33,26.0,6,3,4830000.0,1610000.0,14,30100000.0,2150000.0,8,11050000.0,1381250.0,8,30900000.0,3862500.0,2330000.0,76880000.0
Beşiktaş JK,2006-2007,31,24.2,7,5,4550000.0,910000.0,13,28400000.0,2184615.3846153845,4,18950000.0,4737500.0,9,18170000.0,2018888.888888889,2260000.0,70070000.0
Trabzonspor,2006-2007,30,26.5,9,3,3550000.0,1183333.3333333333,17,31850000.0,1873529.4117647058,3,9700000.0,3233333.3333333335,7,22300000.0,3185714.285714286,2250000.0,67400000.0
Ankaraspor,2006-2007,35,25.2,8,4,3850000.0,962500.0,14,15500000.0,1107142.857142857,8,10250000.0,1281250.0,9,10300000.0,1144444.4444444445,1140000.0,39900000.0
Ankaragücü,2006-2007,37,25.3,7,5,3700000.0,740000.0,14,12900000.0,921428.5714285715,10,10790000.0,1079000.0,8,10400000.0,1300000.0,1020000.0,37790000.0
Sivasspor,2006-2007,35,27.1,10,5,2550000.0,510000.0,16,20350000.0,1271875.0,5,4500000.0,900000.0,9,9750000.0,1083333.3333333333,1060000.0,37150000.0
Manisaspor,2006-2007,35,24.3,8,4,2250000.0,562500.0,12,14400000.0,1200000.0,9,10800000.0,1200000.0,10,9650000.0,965000.0,1060000.0,37100000.0
Sakaryaspor,2006-2007,42,26.0,8,4,3650000.0,912500.0,16,13850000.0,865625.0,7,7200000.0,1028571.4285714285,15,11950000.0,796666.6666666666,873000.0,36650000.0
Konyaspor,2006-2007,32,26.3,11,3,2000000.0,666666.6666666666,14,13650000.0,975000.0,7,11800000.0,1685714.2857142857,8,9000000.0,1125000.0,1140000.0,36450000.0
Kayserispor,2006-2007,31,25.9,9,5,2050000.0,410000.0,13,15550000.0,1196153.8461538462,6,8650000.0,1441666.6666666667,7,9400000.0,1342857.142857143,1150000.0,35650000.0
Gençlerbirliği SK,2006-2007,32,24.3,8,3,2800000.0,933333.3333333334,16,16475000.0,1029687.5,4,2400000.0,600000.0,9,13850000.0,1538888.888888889,1110000.0,35530000.0
Kayseri Erciyesspor,2006-2007,34,27.2,8,5,3600000.0,720000.0,18,17400000.0,966666.6666666666,4,4250000.0,1062500.0,7,10100000.0,1442857.142857143,1040000.0,35350000.0
Gaziantepspor,2006-2007,31,26.1,9,4,3950000.0,987500.0,14,15570000.0,1112142.857142857,6,6850000.0,1141666.6666666667,7,7025000.0,1003571.4285714285,1080000.0,33400000.0
Bursaspor,2006-2007,31,25.6,4,3,1600000.0,533333.3333333334,15,14900000.0,993333.3333333334,4,2650000.0,662500.0,9,10800000.0,1200000.0,966000.0,29950000.0
Denizlispor,2006-2007,35,26.3,9,3,2250000.0,750000.0,18,14150000.0,786111.1111111111,6,5525000.0,920833.3333333334,8,8000000.0,1000000.0,855000.0,29930000.0
Çaykur Rizespor,2006-2007,39,25.5,9,5,1275000.0,255000.0,18,12675000.0,704166.6666666666,6,5500000.0,916666.6666666666,10,6550000.0,655000.0,667000.0,26000000.0
Antalyaspor,2006-2007,29,26.8,7,4,650000.0,162500.0,11,12910000.0,1173636.3636363635,6,4425000.0,737500.0,8,7450000.0,931250.0,877000.0,25440000.0
Fenerbahçe SK,2007-2008,32,25.8,9,5,5500000.0,1100000.0,15,51200000.0,3413333.3333333335,6,21200000.0,3533333.3333333335,6,17300000.0,2883333.3333333335,2980000.0,95200000.0
Galatasaray SK,2007-2008,33,25.1,8,3,4100000.0,1366666.6666666667,14,38400000.0,2742857.1428571427,8,17100000.0,2137500.0,8,26750000.0,3343750.0,2620000.0,86350000.0
Beşiktaş JK,2007-2008,37,24.9,10,4,5200000.0,1300000.0,16,30950000.0,1934375.0,3,9500000.0,3166666.6666666665,14,32550000.0,2325000.0,2110000.0,78200000.0
Trabzonspor,2007-2008,34,26.4,8,4,3700000.0,925000.0,18,23200000.0,1288888.888888889,3,4800000.0,1600000.0,9,24200000.0,2688888.888888889,1640000.0,55900000.0
Manisaspor,2007-2008,37,25.0,11,4,4300000.0,1075000.0,16,17000000.0,1062500.0,7,10900000.0,1557142.857142857,10,13800000.0,1380000.0,1240000.0,46000000.0
Sivasspor,2007-2008,36,25.6,12,4,3700000.0,925000.0,16,17450000.0,1090625.0,7,7550000.0,1078571.4285714286,9,15150000.0,1683333.3333333333,1220000.0,43850000.0
Ankaraspor,2007-2008,39,25.5,9,5,3500000.0,700000.0,15,13350000.0,890000.0,9,11000000.0,1222222.2222222222,10,15850000.0,1585000.0,1120000.0,43700000.0
Büyükşehir Belediyespor,2007-2008,34,27.2,7,3,3100000.0,1033333.3333333334,17,16050000.0,944117.6470588235,5,6200000.0,1240000.0,9,14600000.0,1622222.2222222222,1180000.0,39950000.0
Kayserispor,2007-2008,30,25.1,6,4,2600000.0,650000.0,14,16900000.0,1207142.857142857,5,7200000.0,1440000.0,7,11800000.0,1685714.2857142857,1280000.0,38500000.0
Bursaspor,2007-2008,42,24.9,12,5,2400000.0,480000.0,20,17900000.0,895000.0,6,5150000.0,858333.3333333334,11,11850000.0,1077272.7272727273,888000.0,37300000.0
Konyaspor,2007-2008,35,26.0,13,4,3200000.0,800000.0,15,14300000.0,953333.3333333334,8,11150000.0,1393750.0,8,8400000.0,1050000.0,1060000.0,37050000.0
Gaziantepspor,2007-2008,41,26.2,11,4,2150000.0,537500.0,13,10500000.0,807692.3076923077,12,10750000.0,895833.3333333334,12,12600000.0,1050000.0,878000.0,36000000.0
Gençlerbirliği SK,2007-2008,42,24.7,12,5,2600000.0,520000.0,21,15100000.0,719047.619047619,4,6100000.0,1525000.0,12,12050000.0,1004166.6666666666,854000.0,35850000.0
Denizlispor,2007-2008,36,25.6,8,5,2600000.0,520000.0,20,20250000.0,1012500.0,6,5400000.0,900000.0,5,3700000.0,740000.0,888000.0,31950000.0
Ankaragücü,2007-2008,38,25.9,11,3,2300000.0,766666.6666666666,19,13850000.0,728947.3684210526,9,5650000.0,627777.7777777778,7,8950000.0,1278571.4285714286,809000.0,30750000.0
Çaykur Rizespor,2007-2008,42,25.4,8,5,3350000.0,670000.0,22,15000000.0,681818.1818181818,4,3800000.0,950000.0,11,7200000.0,654545.4545454546,699000.0,29350000.0
Gençlerbirliği Oftaşspor,2007-2008,36,23.5,8,5,2050000.0,410000.0,15,13350000.0,890000.0,7,5500000.0,785714.2857142857,9,6550000.0,727777.7777777778,763000.0,27450000.0
Kasımpaşa,2007-2008,38,26.5,9,3,1600000.0,533333.3333333334,14,10100000.0,721428.5714285715,10,5350000.0,535000.0,11,5150000.0,468181.8181818182,584000.0,22200000.0
Galatasaray SK,2008-2009,33,26.0,8,4,8000000.0,2000000.0,14,47400000.0,3385714.285714286,4,18200000.0,4550000.0,11,46000000.0,4181818.1818181816,3620000.0,119600000.0
Fenerbahçe SK,2008-2009,36,25.9,10,3,6100000.0,2033333.3333333333,15,40350000.0,2690000.0,9,24250000.0,2694444.4444444445,9,36050000.0,4005555.5555555555,2970000.0,106750000.0
Beşiktaş JK,2008-2009,28,26.9,12,3,3000000.0,1000000.0,14,39000000.0,2785714.285714286,3,11700000.0,3900000.0,8,29850000.0,3731250.0,2980000.0,83550000.0
Trabzonspor,2008-2009,28,24.7,9,4,5650000.0,1412500.0,12,23800000.0,1983333.3333333333,3,10300000.0,3433333.3333333335,9,17500000.0,1944444.4444444445,2040000.0,57250000.0
Sivasspor,2008-2009,35,26.5,10,3,2800000.0,933333.3333333334,15,13850000.0,923333.3333333334,9,7100000.0,788888.8888888889,8,12950000.0,1618750.0,1050000.0,36700000.0
Ankaraspor,2008-2009,34,25.2,11,5,2850000.0,570000.0,13,12050000.0,926923.0769230769,8,10850000.0,1356250.0,8,9625000.0,1203125.0,1040000.0,35380000.0
Kayserispor,2008-2009,31,25.1,9,3,1650000.0,550000.0,12,14000000.0,1166666.6666666667,9,8850000.0,983333.3333333334,7,9050000.0,1292857.142857143,1080000.0,33549999.999999996
Ankaragücü,2008-2009,40,26.4,7,6,2450000.0,408333.3333333333,16,11750000.0,734375.0,8,6400000.0,800000.0,10,9350000.0,935000.0,749000.0,29950000.0
Bursaspor,2008-2009,37,25.8,12,3,2150000.0,716666.6666666666,15,11700000.0,780000.0,6,7500000.0,1250000.0,13,8150000.0,626923.0769230769,797000.0,29500000.0
Gençlerbirliği SK,2008-2009,37,25.0,10,5,2250000.0,450000.0,17,14900000.0,876470.5882352941,9,4650000.0,516666.6666666667,6,5500000.0,916666.6666666666,738000.0,27300000.0
Konyaspor,2008-2009,35,27.4,10,4,1700000.0,425000.0,16,15100000.0,943750.0,7,3700000.0,528571.4285714285,8,6400000.0,800000.0,769000.0,26900000.0
