Takim,Sezon,Galibiyet,Beraberlik,Maglubiyet,Atilan_Gol,Yenilen_Gol,Averaj,Puan
Fenerbahçe,2004-2005,26,2,6,77,24,53,80
Trabzonspor,2004-2005,24,5,5,73,29,44,77
Galatasaray,2004-2005,24,4,6,64,25,39,76
Beşiktaş,2004-2005,20,9,5,70,39,31,69
Gençlerbirliği,2004-2005,14,9,11,52,41,11,51
Denizlispor,2004-2005,13,10,11,46,45,1,49
BB Ankaraspor,2004-2005,13,9,12,52,48,4,48
Konyaspor,2004-2005,11,12,11,62,62,0,45
Gaziantepspor,2004-2005,13,5,16,49,55,-6,44
Ç. Rizespor,2004-2005,11,10,13,36,37,-1,43
Malatyaspor,2004-2005,12,7,15,47,53,-6,43
Samsunspor,2004-2005,10,8,16,40,55,-15,38
Ankaragücü,2004-2005,10,8,16,37,61,-24,38
Diyarbakırspor,2004-2005,9,7,18,31,53,-22,34
Kayserispor,2004-2005,8,10,16,42,65,-23,34
Sakaryaspor,2004-2005,9,5,20,51,72,-21,32
İstanbulspor,2004-2005,5,12,17,32,59,-27,27
A.Sebatspor,2004-2005,3,10,21,40,78,-38,19
Galatasaray,2005-2006,26,5,3,82,34,48,83
Fenerbahçe,2005-2006,25,6,3,90,34,56,81
Beşiktaş,2005-2006,15,9,10,52,39,13,54
Trabzonspor,2005-2006,15,7,12,51,42,9,52
Kayserispor,2005-2006,15,6,13,59,42,17,51
Gençlerbirliği,2005-2006,14,9,11,47,39,8,51
Konyaspor,2005-2006,12,10,12,39,43,-4,46
Sivasspor,2005-2006,10,13,11,34,44,-10,43
Ç. Rizespor,2005-2006,10,11,13,35,44,-9,41
K. Erciyesspor,2005-2006,9,13,12,36,47,-11,40
Gaziantepspor,2005-2006,10,10,14,34,50,-16,40
Manisaspor,2005-2006,11,7,16,52,61,-9,40
Ankaragücü,2005-2006,10,9,15,43,48,-5,39
Ankaraspor,2005-2006,9,12,13,44,51,-7,39
Denizlispor,2005-2006,9,10,15,41,50,-9,37
Malatyaspor,2005-2006,9,9,16,34,50,-16,36
Samsunspor,2005-2006,9,9,16,45,62,-17,36
Diyarbakırspor,2005-2006,8,5,21,31,69,-38,29
Fenerbahçe,2006-2007,20,10,4,65,31,34,70
Beşiktaş,2006-2007,18,7,9,43,32,11,61
Galatasaray,2006-2007,15,11,8,58,37,21,56
Trabzonspor,2006-2007,15,7,12,54,44,10,52
Kayserispor,2006-2007,13,12,9,54,43,11,51
Gençlerbirliği,2006-2007,14,6,14,43,42,1,48
Sivasspor,2006-2007,14,6,14,41,44,-3,48
Ankaraspor,2006-2007,10,17,7,43,38,5,47
Konyaspor,2006-2007,12,9,13,42,44,-2,45
Bursaspor,2006-2007,12,9,13,36,42,-6,45
Gaziantepspor,2006-2007,11,10,13,31,39,-8,43
Manisaspor,2006-2007,11,9,14,41,45,-4,42
Ankaragücü,2006-2007,11,9,14,32,39,-7,42
Denizlispor,2006-2007,9,14,11,33,40,-7,41
Ç. Rizespor,2006-2007,11,7,16,34,40,-6,40
Antalyaspor,2006-2007,8,15,11,32,36,-4,39
K. Erciyesspor,2006-2007,9,10,15,29,49,-20,37
Sakaryaspor,2006-2007,4,10,20,25,51,-26,22
Galatasaray,2007-2008,24,7,3,64,23,41,79
Fenerbahçe,2007-2008,22,7,5,72,37,35,73
Sivasspor,2007-2008,23,4,7,57,29,28,73
Beşiktaş,2007-2008,23,4,7,58,32,26,73
Kayserispor,2007-2008,15,10,9,50,31,19,55
Trabzonspor,2007-2008,14,7,13,44,39,5,49
Denizlispor,2007-2008,13,6,15,48,48,0,45
Ankaragücü,2007-2008,11,10,13,36,44,-8,43
Gaziantepspor,2007-2008,11,10,13,36,45,-9,43
Ankaraspor,2007-2008,10,11,13,35,38,-3,41
GB Oftaşspor,2007-2008,10,10,14,30,36,-6,40
Büyükşehir Bld,2007-2008,10,8,16,44,47,-3,38
Bursaspor,2007-2008,9,11,14,31,40,-9,38
Konyaspor,2007-2008,10,6,18,37,64,-27,36
Gençlerbirliği,2007-2008,9,8,17,44,51,-7,35
Manisaspor,2007-2008,7,8,19,42,62,-20,29
Ç. Rizespor,2007-2008,7,8,19,32,64,-32,29
Kasımpaşa,2007-2008,8,5,21,26,56,-30,29
Beşiktaş,2008-2009,21,8,5,60,30,30,71
Sivasspor,2008-2009,19,9,6,54,28,26,66
Trabzonspor,2008-2009,19,8,7,54,34,20,65
Fenerbahçe,2008-2009,18,7,9,60,36,24,61
Galatasaray,2008-2009,18,7,9,57,39,18,61
Bursaspor,2008-2009,16,10,8,47,36,11,58
Kayserispor,2008-2009,13,11,10,38,26,12,50
Gaziantepspor,2008-2009,12,11,11,46,48,-2,47
Büyükşehir Bld,2008-2009,12,6,16,37,46,-9,42
