Takim,Sezon,Kadro_Sayisi,Ortalama_Yas,Yabanci_Oyuncu_Sayisi,Kaleci_Sayisi,Kaleci_Toplam_Deger_Euro,Kaleci_Ortalama_Deger_Euro,Defans_Sayisi,Defans_Toplam_Deger_Euro,Defans_Ortalama_Deger_Euro,Ortasaha_Sayisi,Ortasaha_Toplam_Deger_Euro,Ortasaha_Ortalama_Deger_Euro,Forvet_Sayisi,Forvet_Toplam_Deger_Euro,Forvet_Ortalama_Deger_Euro,Ortalama_Piyasa_Degeri_Euro,Toplam_Piyasa_Degeri_Euro
Fenerbahçe,2004-2005,27,25.3,6,3,8500000,2833333.3333333335,12,29500000,2458333.3333333335,3,12850000,4283333.333333333,9,39750000,4416666.666666667,3360000,90600000
Galatasaray,2004-2005,32,26.5,10,4,5750000,1437500,12,29750000,2479166.6666666665,7,13000000,1857142.857142857,9,31150000,3461111.111111111,2490000,79650000
Beşiktaş,2004-2005,33,27,8,3,4000000,1333333.3333333333,14,28500000,2035714.2857142857,7,20500000,2928571.4285714286,9,23250000,2583333.3333333335,2310000,76250000
Trabzonspor,2004-2005,29,25.2,7,3,2550000,850000,15,27000000,1800000,4,6250000,1562500,7,27800000,3971428.5714285714,2190000,63600000
Gençlerbirliği,2004-2005,33,25.9,7,3,3500000,1166666.6666666667,14,19500000,1392857.142857143,8,8750000,1093750,8,15200000,1900000,1420000,46950000
Gaziantepspor,2004-2005,32,24.8,6,3,2350000,783333.3333333334,16,16350000,1021875,7,8900000,1271428.5714285714,6,11000000,1833333.3333333333,1210000,38600000
Konyaspor,2004-2005,29,28.2,8,3,2500000,833333.3333333334,15,14200000,946666.6666666666,4,7750000,1937500,7,12800000,1828571.4285714289,1280000,37250000
Samsunspor,2004-2005,37,25.9,8,4,1900000,475000,16,11100000,693750,10,11650000,1165000,7,10000000,1428571.4285714286,936000,34650000
Malatyaspor,2004-2005,32,26.3,9,3,1750000,583333.3333333334,12,14050000,1170833.3333333333,8,8300000,1037500,9,9850000,1094444.4444444445,1060000,33950000
Ankaragücü,2004-2005,42,25.5,10,5,2205000,441000,16,10100000,631250,14,9650000,689285.7142857143,7,10800000,1542857.142857143,780000,32759999.999999996
BB Ankaraspor,2004-2005,37,25.9,8,5,2350000,470000,16,17750000,1109375,7,4550000,650000,9,8100000,900000,885000,32750000
Kayserispor,2004-2005,38,26.6,8,5,1750000,350000,19,15925000,838157.8947368421,7,5550000,792857.1428571428,7,6800000,971428.5714285716,790000,30030000
İstanbulspor,2004-2005,34,26,9,3,2400000,800000,12,7600000,633333.3333333334,8,7650000,956250,11,9900000,900000,810000,27550000
Denizlispor,2004-2005,30,25.7,7,3,2450000,816666.6666666666,13,11090000,853076.9230769231,9,6700000,744444.4444444445,5,7000000,1400000,908000,27240000
A.Sebatspor,2004-2005,36,27.2,5,3,2025000,675000,15,10550000,703333.3333333334,8,7900000,987500,10,6250000,625000,742000,26730000
Diyarbakırspor,2004-2005,31,27.5,7,3,1050000,350000,13,10000000,769230.7692307692,5,3750000,750000,10,8125000,812500,740000,22930000
Ç. Rizespor,2004-2005,29,26.5,7,3,1330000,443333.3333333333,15,9870000,658000,3,3300000,1100000,8,8350000,1043750,788000,22850000
Sakaryaspor,2004-2005,32,25.6,7,4,1450000,362500,9,4500000,500000,9,4550000,505555.5555555555,10,4350000,435000,464000,14850000
Fenerbahçe,2005-2006,25,25.8,5,3,4400000,1466666.6666666667,12,29700000,2475000,3,11600000,3866666.6666666665,7,27300000,3900000,2920000,73000000
Beşiktaş,2005-2006,40,26,9,5,3350000,670000,14,22500000,1607142.857142857,9,22200000,2466666.6666666665,12,21600000,1800000,1740000,69650000
Galatasaray,2005-2006,35,25.2,6,3,4250000,1416666.6666666667,15,25650000,1710000,8,12100000,1512500,9,22950000,2550000,1860000,64950000
